Noise unique,Total  Emails,Message ID,Closeness 1 .. 100,Not Closenss 1 .. 100
bhvx:1_m1fNvJI6Y8kAAAU+,bhvx:1_EQ5FPxSfFpkAADad,qc3JlYqA|E2ef5,bhvx:1_MexCvnG+RCEAAFOC,bhvx:1_bRBUsMmiBBQAAAGl
bhvx:1_StJulj1+DtgAAARa,bhvx:1_EVD5vJ3SVbAAA5s+,ngRwIkqA|E2169,bhvx:1_fEYnVqDMsdIAAOko,bhvx:1_EQ5FPxSfFpkAADad
bhvx:1_8Gc8rf5jSnwAAATO,bhvx:1_SfDu4pvIrAEAABgk,Hmp1/EqA|Efd8,bhvx:1_pbDoeUbFKjYAAB3L,bhvx:1_lhBY0nrne8cAABXh
bhvx:1_bmmBKuoMfpEAAAT+,bhvx:1_5roqwMzhyGsAAAHG,YAzO7wqA|E1286,bhvx:1_eQ7dAgcxXRUAACrP,bhvx:1_XrmRXVtY7ZcAAB3P
bhvx:1_vNcABraWTRoAEkGu,bhvx:1_qqWuTnPYgRwAAB8t,MttY2EqA|Eb8c,bhvx:1_9mZDzC6BcMIAAH0U,bhvx:1_H6OGkwtW45sAAAYh
bhvx:1_M5DF3gO1OoUAC9NU,bhvx:1_yhDXnmuhsJsAAN8d,oitFpYqA|Ea05,bhvx:1_2mpyVjMvhjsAAAZP,bhvx:1_sVRLSvtwUHcAABR7
bhvx:1_mTsbwu5QjJ0AAAVW,bhvx:1_7AqGvuW1tM8AABsV,v2YNpYqA|Ec15,bhvx:1_MNHwkDtKdT4AAAoO,bhvx:1_gTFV9xYvZmsAAAR1
bhvx:1_oUifikRgpjAAAAVN,bhvx:1_7wqd2wkooV0AETzR,1nZd84qA|E1533,bhvx:1_yhDXnmuhsJsAAN8d,bhvx:1_tL4y+N4A5mkAAAWZ
bhvx:1_bjxfiSyf5EoAAAUj,bhvx:1_4WUXy7jTY64AARSd,xchFJkqA|E34c3,bhvx:1_mY7tO0KXt4IAAAbM,bhvx:1_4Pb2ivdzS/UAAE1B
bhvx:1_Fk6f/lNXJl0AAAVj,bhvx:1_Q9z1zMJ0VakAAARz,sJUdbkqA|E347d,bhvx:1_pQBMjWUB4W4AAAig,bhvx:1_NrR2O11A6IUAABoD
bhvx:1_3D4y5A+5+BcAAAY/,bhvx:1_La0wR+I7xNwAAJbN,safRrEqA|E129d,bhvx:1_4WUXy7jTY64AARSd,bhvx:1_GA8urne2NbAAADxf
bhvx:1_lolQtdApxCAAAAUX,bhvx:1_rHI0AIH9D34AAALh,roc60EqA|E348d,bhvx:1_yzEC/Fn6M6sAAFB6,bhvx:1_k2lCCupqSIwAACW8
bhvx:1_g5PsFyQQNHIAAAUz,bhvx:1_cjpC8gTCr7IAACYr,HPo5zIqA|E1a68,bhvx:1_La0wR+I7xNwAAJbN,bhvx:1_+gQvJfe48YsAACgQ
bhvx:1_BpJIWvNfa8cAAAVs,bhvx:1_LAOXNnfrU9sACD2Q,XUgElkqA|E1242,bhvx:1_CEhZ66m85iwAABZ4,bhvx:1_VS5ckYu3ZdEAAAGe
bhvx:1_3we47RYmDj0AABKE,bhvx:1_D83Pqp6hApoAACeN,iUNJ2wqA|E1aa9,bhvx:1_F7rol0Vh79sAAiPX,bhvx:1_cjpC8gTCr7IAACYr
bhvx:1_/+8xSE99SyUAABPL,bhvx:1_SYPFA7z/sJoAADby,zZ/Y2EqA|E3bab,bhvx:1_LAOXNnfrU9sACD2Q,bhvx:1_bCgx7OaMtb4AAAVi
